左側距離,左前方距離,前方距離,右前方距離,右側距離
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
7.8,13.0,97.3,13.2,8.2
7.4,12.7,97.4,12.7,8.1
7.6,12.8,99.2,12.6,8.0
7.1,13.1,94.4,13.1,7.8
7.4,12.1,98.9,14.0,8.0
7.5,12.6,99.4,13.8,8.3
7.1,11.9,95.5,12.9,7.9
7.8,12.9,100.1,14.0,8.3
7.1,12.7,97.1,13.1,8.1
7.4,12.5,96.6,12.8,7.6
7.2,12.6,91.0,13.8,8.2
7.3,11.3,94.9,13.6,7.9
7.7,11.7,92.2,14.5,7.6
7.5,10.7,82.3,15.6,7.9
7.9,9.6,59.8,16.9,8.0
7.3,9.4,52.0,18.0,8.5
7.5,9.5,48.3,20.3,8.3
7.3,8.9,41.7,21.2,8.7
7.4,8.7,41.8,22.5,9.0
7.3,8.7,36.7,23.0,8.7
7.2,8.3,37.1,22.9,9.3
7.4,7.9,37.9,22.5,9.5
6.9,8.1,33.9,24.2,9.7
6.9,7.8,34.6,23.0,9.4
6.4,7.4,34.0,25.2,9.8
6.3,7.6,33.3,23.8,10.0
6.4,7.4,32.5,24.8,9.8
6.3,7.1,32.1,24.3,10.7
5.7,6.7,31.4,26.6,10.1
5.9,6.8,31.1,26.0,10.0
5.7,6.4,31.1,25.9,10.8
5.5,6.2,29.4,26.2,10.4
5.2,6.2,27.7,26.6,11.1
4.9,6.2,29.0,27.4,11.4
4.7,5.9,28.5,26.5,11.4
4.6,5.5,26.4,27.8,11.2
4.5,5.3,25.5,28.8,12.0
4.3,5.1,26.0,27.6,11.8
4.4,4.9,26.2,30.1,12.2
4.0,4.6,23.8,30.9,11.8
3.8,4.9,24.2,29.9,12.5
3.7,4.4,24.6,31.7,12.9
3.6,4.1,23.5,30.0,13.0
3.4,4.1,22.8,30.8,12.9
3.0,3.8,22.2,32.4,13.7
3.0,3.7,21.3,30.2,13.5
2.9,3.5,21.0,33.3,13.7
2.5,3.2,19.9,31.3,14.0
2.5,3.0,19.7,33.0,14.0
2.2,2.9,19.6,32.6,13.4
2.2,2.9,21.0,31.8,14.0
2.0,2.9,22.4,30.4,14.1
2.0,2.9,21.5,30.3,13.4
2.0,2.7,23.2,28.8,13.3
1.8,2.9,23.5,28.8,14.2
1.8,2.8,25.4,30.2,14.4
1.8,2.8,26.4,29.5,13.7
1.6,2.7,29.1,27.7,14.4
1.5,2.8,31.2,28.8,14.4
1.5,2.7,31.8,26.3,14.1
1.4,2.7,32.9,25.8,14.4
1.4,3.0,34.6,26.4,14.1
1.4,3.0,35.9,26.2,14.2
1.4,2.8,38.0,27.2,14.2
1.3,2.8,42.7,24.6,13.4
1.2,2.9,46.8,26.6,13.4
1.1,2.7,48.2,25.8,14.5
1.2,2.8,48.6,25.6,14.1
1.1,2.7,53.1,24.7,13.9
1.1,2.7,55.7,24.7,13.7
1.1,2.7,58.4,23.5,13.6
1.0,2.9,59.5,24.7,14.4
1.0,2.7,59.6,23.2,13.7
1.0,2.9,59.0,24.5,14.0
0.9,2.7,59.0,23.0,14.7
0.9,2.8,58.0,24.7,13.7
0.8,2.8,60.0,23.3,14.0
0.8,2.9,60.1,24.4,14.9
0.8,2.8,58.1,24.4,14.0
0.8,2.6,54.7,22.5,13.6
0.8,2.9,57.0,23.8,14.9
0.8,2.7,53.7,23.8,14.1
0.7,2.8,56.9,22.4,14.8
0.7,2.9,56.3,24.1,14.4
0.7,2.6,52.2,22.1,14.5
0.7,2.8,55.3,22.7,14.6
0.7,2.7,53.0,23.8,13.7
0.7,2.8,49.3,23.8,13.8
0.7,2.7,49.3,22.5,14.4
0.6,2.7,51.3,24.1,15.0
0.6,2.8,48.3,22.4,15.0
0.6,2.7,51.1,23.2,13.9
0.6,2.7,50.6,21.8,13.9
0.6,2.8,48.4,22.0,14.6
0.6,2.6,45.4,23.7,14.9
0.6,2.7,49.4,23.8,14.7
0.6,2.6,45.2,22.4,14.5
0.6,2.7,47.3,22.8,14.6
0.5,2.8,47.1,23.8,15.1
0.5,2.6,42.7,21.9,14.6
0.5,2.7,44.9,23.4,14.3
0.5,2.7,45.7,23.3,14.7
0.5,2.8,43.2,23.5,13.8
0.5,2.8,41.8,21.6,14.0
0.5,2.8,42.1,21.5,14.1
0.5,2.6,41.9,23.6,14.2
0.5,2.7,40.5,22.4,14.2
0.5,2.6,39.1,22.6,15.0
0.5,2.5,38.8,21.7,14.1
0.5,2.7,39.2,22.1,14.1
0.4,2.7,37.5,21.8,15.1
0.5,2.6,36.5,21.4,14.5
0.5,2.5,38.8,22.2,14.9
0.5,2.6,35.9,23.0,14.0
0.4,2.6,37.3,23.4,14.5
0.4,2.7,35.1,22.7,13.7
0.4,2.7,34.2,23.4,14.2
0.4,2.7,32.6,21.4,14.1
0.4,2.5,32.2,21.3,13.7
0.4,2.6,32.0,22.3,14.3
0.4,2.5,32.8,23.1,14.1
0.4,2.7,31.3,22.1,14.8
0.4,2.7,32.8,22.4,13.7
0.4,2.7,31.2,23.4,14.2
0.4,2.7,29.4,22.4,14.8
0.4,2.5,30.6,21.7,14.0
0.4,2.6,29.5,22.3,14.8
0.4,2.7,26.9,21.6,15.0
0.4,2.4,28.3,23.4,14.5
0.4,2.6,27.6,23.0,13.7
0.4,2.6,26.2,22.7,14.8
0.4,2.5,26.1,23.4,14.5
0.4,2.6,26.1,22.5,14.4
0.4,2.7,24.0,22.5,14.6
0.4,2.6,23.6,22.3,14.5
0.4,2.5,23.6,22.8,14.5
0.4,2.6,23.2,23.3,15.1
0.4,2.6,22.4,21.8,14.8
0.3,2.6,22.3,21.7,13.8
0.4,2.4,21.2,22.3,14.3
0.4,2.5,21.4,21.4,14.9
0.4,2.5,20.2,23.1,14.7
0.3,2.5,18.9,23.3,13.8
0.3,2.6,18.7,21.5,14.3
0.3,2.6,17.5,21.7,14.3
0.4,2.5,17.1,22.0,15.1
0.3,2.5,16.4,22.2,13.8
0.3,2.4,16.6,22.5,14.8
0.3,2.6,16.5,22.4,14.5
0.3,2.5,15.0,22.6,14.9
